Daily Data,Production (kWh)
2015-05-12,13.2
2015-05-13,15.55
2015-05-14,9.67
2015-05-15,9.36
2015-05-16,4.86
2015-05-17,9.57
2015-05-18,8.85
2015-05-19,13.1
2015-05-20,11.02
2015-05-21,9.84
2015-05-22,7.75
2015-05-23,9.58
2015-05-24,13.29
2015-05-25,15.99
2015-05-26,8.15
2015-05-27,12.16
2015-05-28,17.02
2015-05-29,17.61
2015-05-30,15.16
2015-05-31,16.66
2015-06-01,15.21
2015-06-02,17.11
2015-06-03,13.25
2015-06-04,13.82
2015-06-05,13.23
2015-06-06,13.71
2015-06-07,17.4
2015-06-08,17.21
2015-06-09,13.16
2015-06-10,12.57
2015-06-11,12.6

Data up to,06-11-2015 23:59:59 ( Mountain Standard Time )